"name","labels"
"LBCVRESN","""Numeric Result/Finding in US CV Format"""
"LBCVRESU","""US Conventional Units"""
"LBDTC","""Date/Time of Specimen Collection"""
"LBDY","""Study Day of Specimen Collection"""
"LBELTM","""Planned Elapsed Time from Time Point Ref"""
"LBFAST","""Fasting Status"""
"LBFASTHR","""Hours Subject Fasted"""
"LBMETHOD","""Method of Test or Examination"""
"LBNAM","""Vendor Name"""
"LBNRIND","""Reference Range Indicator"""
"LBORNRHI","""Reference Range Upper Limit in Orig Unit"""
"LBORNRLO","""Reference Range Lower Limit in Orig Unit"""
"LBORRES","""Result or Finding in Original Units"""
"LBORRESU","""Original Units"""
"LBRESSCL","""Result Scale"""
"LBRESTYP","""Result Type"""
"LBRFTDTC","""Date/Time of Reference Time Point"""
"LBSEQ","""Sequence Number"""
"LBSPEC","""Specimen Type"""
"LBSPID","""Sponsor-Defined Identifier"""
"LBSTAT","""Completion Status"""
"LBSTNRHI","""Reference Range Upper Limit-Std Units"""
"LBSTNRLO","""Reference Range Lower Limit-Std Units"""
"LBSTRESC","""Character Result/Finding in Std Format"""
"LBSTRESN","""Numeric Result/Finding in Standard Units"""
"LBSTRESU","""Standard Units"""
"LBTEST","""Lab Test or Examination Name"""
"LBTESTCD","""Lab Test or Examination Short Name"""
"LBTPT","""Planned Time Point Name"""
"LBTPTNUM","""Planned Time Point Number"""
"LBTPTREF","""Time Point Reference"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"MBBLFL","""Baseline Flag"""
"MBCAT","""Category for Microbiology Finding"""
"MBDTC","""Date/Time of Specimen Collection"""
"MBDY","""Study Day of MB Specimen Collection"""
"MBORRES","""Result or Finding in Original Units"""
"MBORRESU","""Original Units"""
"MBRESSCL","""Result Scale"""
"MBRESTYP","""Result Type"""
"MBSEQ","""Sequence Number"""
"MBSPEC","""Specimen Type"""
"MBSPID","""Sponsor-Defined Identifier"""
"MBSTRESC","""Character Result/Finding in Std Format"""
"MBSTRESN","""Numeric Result/Finding in Standard Units"""
"MBSTRESU","""Standard Units"""
"MBTEST","""Microbiology Test or Finding Name"""
"MBTESTCD","""Microbiology Test or Finding Short Name"""
"MBTSTDTL","""Measurement, Test or Examination Detail"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"MHBDSYCD","""Body System or Organ Class Code"""
"MHBODSYS","""Body System or Organ Class"""
"MHCAT","""Category for Medical History"""
"MHDECOD","""Dictionary-Derived Term"""
"MHDTC","""Date/Time of History Collection"""
"MHDY","""Study Day of History Collection"""
"MHENDTC","""End Date/Time of Medical History Event"""
"MHENDY","""Study Day of End of Observation"""
"MHENRTPT","""End Relative to Reference Time Point"""
"MHENTPT","""End Reference Time Point"""
"MHGRPID","""Group ID"""
"MHHLGT","""High Level Group Term"""
"MHHLGTCD","""High Level Group Term Code"""
"MHHLT","""High Level Term"""
"MHHLTCD","""High Level Term Code"""
"MHLLT","""Lowest Level Term"""
"MHLLTCD","""Lowest Level Term Code"""
"MHPTCD","""Preferred Term Code"""
"MHSEQ","""Sequence Number"""
"MHSOC","""Primary System Organ Class"""
"MHSOCCD","""Primary System Organ Class Code"""
"MHSPID","""Sponsor-Defined Identifier"""
"MHSTDTC","""Start Date/Time of Medical History Event"""
"MHSTDY","""Study Day of Start of Observation"""
"MHSTRTPT","""Start Relative to Reference Time Point"""
"MHSTTPT","""Start Reference Time Point"""
"MHTERM","""Reported Term for the Medical History"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"MLCAT","""Category for Meal"""
"MLCMPYN","""Did Subject complete the meal?"""
"MLDTC","""Date/Time of Collection"""
"MLDY","""Study Day of Visit/Collection/Exam"""
"MLELTM","""Planned Elapsed Time from Time Point Ref"""
"MLENDTC","""End Date/Time of Meal"""
"MLENDY","""Study Day of End of Meal"""
"MLRFTDTC","""Date/Time of Reference Time Point"""
"MLSEQ","""Sequence Number"""
"MLSPID","""Sponsor-Defined Identifier"""
"MLSTDTC","""Start Date/Time of Meal"""
"MLSTDY","""Study Day of Start of Meal"""
"MLTPT","""Planned Time Point Name"""
"MLTPTNUM","""Planned Time Point Number"""
"MLTPTREF","""Time Point Reference"""
"MLTRT","""Reported Name of Meal"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"IPACCSNM","""Immediate Parent Unique Sample ID"""
"PCAINTP","""Assay Interpretation"""
"PCANLDTC","""Date/Time of Specimen or Sample Analysis"""
"PCASPID","""Assay Protocol Identifier"""
"PCCAT","""Test Category"""
"PCDRVFL","""Derived Flag"""
"PCDTC","""Date/Time of Specimen Collection"""
"PCDY","""Actual Study Day of Specimen Collection"""
"PCELTM","""Planned Elapsed Time from Time Point Ref"""
"PCENDTC","""End Date/Time of Specimen Collection"""
"PCENDY","""Study Day of End of Observation"""
"PCEVLINT","""Evaluation Interval"""
"PCFAST","""Fasting Status"""
"PCGRPID","""Group ID"""
"PCLLOQ","""Lower Limit of Quantitation"""
"PCLOC","""Location Used for the Measurement"""
"PCMETHOD","""Method of Test or Examination"""
"PCNAM","""Vendor Name"""
"PCORRES","""Result or Finding in Original Units"""
"PCORRESU","""Original Units"""
"PCREASND","""Reason Test Not Done"""
"PCREFID","""Reference ID"""
"PCRFTDTC","""Date/Time of Reference Point"""
"PCSCAT","""Test Subcategory"""
"PCSEQ","""Sequence Number"""
"PCSMPLID","""Alternate Sample Identifier"""
"PCSPCCND","""Specimen Condition"""
"PCSPEC","""Specimen Material Type"""
"PCSPID","""Sponsor-Defined Identifier"""
"PCSTAT","""Completion Status"""
"PCSTRESC","""Character Result/Finding in Std Format"""
"PCSTRESN","""Numeric Result/Finding in Standard Units"""
"PCSTRESU","""Standard Units"""
"PCTEST","""Pharmacokinetic Test Name"""
"PCTESTCD","""Pharmacokinetic Test Short Name"""
"PCTPT","""Planned Time Point Name"""
"PCTPTNUM","""Planned Time Point Number"""
"PCTPTREF","""Time Point Reference"""
"PCULOQ","""Upper Limit of Quantitation"""
"PRACCSNM","""Prior Vendor/Parental Unique Sample ID"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"PRCAT","""Category"""
"PRDOSE","""Dose"""
"PRDOSEU","""Dose Units"""
"PRENDTC","""End Date/Time of Procedure"""
"PRENDY","""Study Day of End of Procedure"""
"PRGRPID","""Group ID"""
"PROCCUR","""Occurrence"""
"PRPRESP","""Pre-specified"""
"PRSEQ","""Sequence Number"""
"PRSPID","""Sponsor-Defined Identifier"""
"PRSTAT","""Completion Status"""
"PRSTDTC","""Start Date/Time of Procedure"""
"PRSTDY","""Study Day of Start of Procedure"""
"PRSTRTPT","""Start Relative to Reference Time Point"""
"PRSTTPT","""Start Reference Time Point"""
"PRTRT","""Reported Name of Procedure"""
"SPDEVID","""Sponsor Device Identifier"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"RPBLFL","""Baseline Flag"""
"RPCAT","""Category for Repro System Findings"""
"RPDTC","""Date/Time of Measurements"""
"RPDY","""Study Day of Repro System Findings"""
"RPORRES","""Result or Finding in Original Units"""
"RPSEQ","""Sequence Number"""
"RPSPID","""Sponsor-Defined Identifier"""
"RPSTRESC","""Character Result/Finding in Std. Format"""
"RPTEST","""Reproductive System Findings Test Name"""
"RPTESTCD","""Repro System Findings Test Short Name"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"SCCAT","""Category for Subject Characteristic"""
"SCDTC","""Date/Time of Collection"""
"SCDY","""Study Day of Examination"""
"SCORRES","""Result or Finding in Original Units"""
"SCSEQ","""Sequence Number"""
"SCSPID","""Sponsor-Defined Identifier"""
"SCSTRESC","""Character Result/Finding in Std Format"""
"SCSTRESN","""Numeric Result/Finding in Standard Units"""
"SCTEST","""Subject Characteristic"""
"SCTESTCD","""Subject Characteristic Short Name"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"SVENDTC","""End Date/Time of Visit"""
"SVENDY","""Study Day of End of Visit"""
"SVOCCUR","""Occurrence"""
"SVPRESP","""Pre-specified"""
"SVSTDTC","""Start Date/Time of Visit"""
"SVSTDY","""Study Day of Start of Visit"""
"SVUPDES","""Description of Unplanned Visit"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"IECAT","""Inclusion/Exclusion Category"""
"IETEST","""Inclusion/Exclusion Criterion"""
"IETESTCD","""Incl/Excl Criterion Short Name"""
"STUDYID","""Study Identifier"""
"TIVERS","""Protocol Criteria Versions"""
"DOMAIN","""Domain Abbreviation"""
"STUDYID","""Study Identifier"""
"TSGRPID","""Group ID"""
"TSPARM","""Trial Summary Parameter"""
"TSPARMCD","""Trial Summary Parameter Short Name"""
"TSSEQ","""Sequence Number"""
"TSVAL","""Parameter Value"""
"TSVALCD","""Parameter Value Code"""
"TSVALNF","""Parameter Null Flavor"""
"TSVCDREF","""Name of the Reference Terminology"""
"TSVCDVER","""Version of the Reference Terminology"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"VSBLFL","""Baseline Flag"""
"VSCAT","""Category for Vital Signs"""
"VSDTC","""Date/Time of Measurements"""
"VSDY","""Study Day of Vital Signs"""
"VSELTM","""Planned Elapsed Time from Time Point Ref"""
"VSLOC","""Location of Vital Signs Measurement"""
"VSORRES","""Result or Finding in Original Units"""
"VSORRESU","""Original Units"""
"VSPOS","""Vital Signs Position of Subject"""
"VSRFTDTC","""Date/Time of Reference Time Point"""
"VSSEQ","""Sequence Number"""
"VSSPID","""Sponsor-Defined Identifier"""
"VSSTAT","""Completion Status"""
"VSSTRESC","""Character Result/Finding in Std Format"""
"VSSTRESN","""Numeric Result/Finding in Standard Units"""
"VSSTRESU","""Standard Units"""
"VSTEST","""Vital Signs Test Name"""
"VSTESTCD","""Vital Signs Test Short Name"""
"VSTPT","""Planned Time Point Name"""
"VSTPTNUM","""Planned Time Point Number"""
"VSTPTREF","""Time Point Reference"""
"DOMAIN","""Domain Abbreviation"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"YICAT","""Category"""
"YICNTRY","""Center Country"""
"YICRTN","""Clinical Research Task Number"""
"YICSTATE","""Center State"""
"YICTCITY","""Center City"""
"YICTCNAM","""Center Name"""
"YICTCNM1","""Center Name 1"""
"YICTCNM2","""Center Name 2"""
"YICTCNM3","""Center Name 3"""
"YICTCNUM","""Center Number"""
"YICTINAM","""Center Investigator Name"""
"YICTINUM","""Center Investigator Number"""
"YICTZIP","""Center Postal Zip Code"""
"YIIADDR1","""Investigator Address Line 1"""
"YIIADDR2","""Investigator Address Line 2"""
"YIIADDR3","""Investigator Address Line 3"""
"YIICITY","""Investigator City"""
"YIICNTRY","""Investigator Country"""
"YIIEMAIL","""Investigator Email ID"""
"YIIFAX","""Investigator Fax Number"""
"YIIMNAM","""Investigator Middle Name"""
"YIINUM","""Investigator Contact Number"""
"YIINUMTP","""Investigator Contact Type"""
"YIINVID","""Investigator Identifier"""
"YIINVZIP","""Investigator Postal Zip Code"""
"YIISTATE","""Investigator State"""
"YISEQ","""Sequence Number"""
"YISITEID","""Site Identifier"""
"YITERM","""Reported Term for Event"""
"AEACN","""Action Taken with Study Treatment"""
"AEACNOTH","""Other Action Taken"""
"AEBDSYCD","""Body System or Organ Class Code"""
"AEBODSYS","""Body System or Organ Class"""
"AECAT","""Category for Adverse Event"""
"AECONTRT","""Concomitant or Additional Trtmnt Given"""
"AEDECOD","""Dictionary-Derived Term"""
"AEENDTC","""End Date/Time of Adverse Event"""
"AEENDY","""Study Day of End of Adverse Event"""
"AEGRPID","""Group ID"""
"AEHLGT","""High Level Group Term"""
"AEHLGTCD","""High Level Group Term Code"""
"AEHLT","""High Level Term"""
"AEHLTCD","""High Level Term Code"""
"AELLT","""Lowest Level Term"""
"AELLTCD","""Lowest Level Term Code"""
"AEMODIFY","""Modified Reported Term"""
"AEOUT","""Outcome of Adverse Event"""
"AEPTCD","""Preferred Term Code"""
"AEREL","""Causality"""
"AESCONG","""Congenital Anomaly or Birth Defect"""
"AESDISAB","""Persist or Signif Disability/Incapacity"""
"AESDTH","""Results in Death"""
"AESEQ","""Sequence Number"""
"AESER","""Serious Event"""
"AESHOSP","""Requires or Prolongs Hospitalization"""
"AESLIFE","""Is Life Threatening"""
"AESMIE","""Other Medically Important Serious Event"""
"AESOC","""Primary System Organ Class"""
"AESOCCD","""Primary System Organ Class Code"""
"AESPID","""Sponsor-Defined Identifier"""
"AESTDTC","""Start Date/Time of Adverse Event"""
"AESTDY","""Study Day of Start of Adverse Event"""
"AETERM","""Reported Term for the Adverse Event"""
"AETOXGR","""Standard Toxicity Grade"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"BECAT","""Category for Biospecimen Event"""
"BEDECOD","""Dictionary-Derived Term"""
"BEDTC","""Date/Time of Specimen Collection"""
"BEDY","""Study Day of Visit/Collection/Exam"""
"BEELTM","""Planned Elapsed Time from Time Point Ref"""
"BEENDTC","""End Date/Time of Biospecimen Event"""
"BEENDY","""Study Day of End of Biospecimen Event"""
"BEOCCUR","""Occurrence"""
"BEPRESP","""Pre-specified"""
"BEREFID","""Reference ID"""
"BERFTDTC","""Date/Time of Reference Point"""
"BESCAT","""Subcategory for Biospecimen Event"""
"BESEQ","""Sequence Number"""
"BESPID","""Sponsor-Defined Identifier"""
"BESTDTC","""Start Date/Time of Biospecimen Event"""
"BESTDY","""Study Day of Start of Biospecimen Event"""
"BETERM","""Reported Term for the Biospecimen Event"""
"BETPT","""Planned Time Point Name"""
"BETPTNUM","""Planned Time Point Number"""
"BETPTREF","""Time Point Reference"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"CEBDSYCD","""Body System or Organ Class Code"""
"CEBODSYS","""Body System or Organ Class"""
"CECAT","""Category for Clinical Event"""
"CEDECOD","""Dictionary-Derived Term"""
"CEENDTC","""End Date/Time of Clinical Event"""
"CEENDY","""Study Day of End of Observation"""
"CEGRPID","""Group ID"""
"CEHLGT","""High Level Group Term"""
"CEHLGTCD","""High Level Group Term Code"""
"CEHLT","""High Level Term"""
"CEHLTCD","""High Level Term Code"""
"CELLT","""Lowest Level Term"""
"CELLTCD","""Lowest Level Term Code"""
"CEMODIFY","""Modified Reported Term"""
"CEOCCUR","""Clinical Event Occurrence"""
"CEPRESP","""Clinical Event Pre-Specified"""
"CEPTCD","""Preferred Term Code"""
"CESEQ","""Sequence Number"""
"CESOC","""Primary System Organ Class"""
"CESOCCD","""Primary System Organ Class Code"""
"CESPID","""Sponsor-Defined Identifier"""
"CESTDTC","""Start Date/Time of Clinical Event"""
"CESTDY","""Study Day of Start of Observation"""
"CETERM","""Reported Term for the Clinical Event"""
"CETOXGR","""Toxicity Grade"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"CMCAT","""Category for Medication"""
"CMDECOD","""Standardized Medication Name"""
"CMDOSE","""Dose per Administration"""
"CMDOSFRQ","""Dosing Frequency per Interval"""
"CMDOSU","""Dose Units"""
"CMENDTC","""End Date/Time of Medication"""
"CMENDY","""Study Day of End of Medication"""
"CMENRTPT","""End Relative to Reference Time Point"""
"CMENTPT","""End Reference Time Point"""
"CMGRPID","""Group ID"""
"CMINDC","""Indication"""
"CMMODIFY","""Modified Reported Name"""
"CMREFID","""Reference ID"""
"CMROUTE","""Route of Administration"""
"CMSEQ","""Sequence Number"""
"CMSPID","""Sponsor-Defined Identifier"""
"CMSTDTC","""Start Date/Time of Medication"""
"CMSTDY","""Study Day of Start of Medication"""
"CMTRT","""Reported Name of Drug, Med, or Therapy"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"COSEQ","""Sequence Number"""
"COVAL","""Comment"""
"DOMAIN","""Domain Abbreviation"""
"IDVAR","""Identifying Variable"""
"IDVARVAL","""Identifying Variable Value"""
"RDOMAIN","""Related Domain Abbreviation"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"ACTARM","""Description of Actual Arm"""
"ACTARMCD","""Actual Arm Code"""
"AGE","""Age"""
"AGEU","""Age Units"""
"ARM","""Description of Planned Arm"""
"ARMCD","""Planned Arm Code"""
"BRTHDTC","""Date/Time of Birth"""
"COUNTRY","""Country"""
"DMDTC","""Date/Time of Collection"""
"DMDY","""Study Day of Collection"""
"DOMAIN","""Domain Abbreviation"""
"DTHDTC","""Date/Time of Death"""
"DTHFL","""Subject Death Flag"""
"ETHNIC","""Ethnicity"""
"INVNAM","""Investigator Name"""
"RACE","""Race"""
"RFENDTC","""Subject Reference End Date/Time"""
"RFICDTC","""Date/Time of Informed Consent"""
"RFPENDTC","""Date/Time of End of Participation"""
"RFSTDTC","""Subject Reference Start Date/Time"""
"RFXENDTC","""Date/Time of Last Study Treatment"""
"RFXSTDTC","""Date/Time of First Study Treatment"""
"SEX","""Sex"""
"SITEID","""Study Site Identifier"""
"STUDYID","""Study Identifier"""
"SUBJID","""Subject Identifier for the Study"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"DSCAT","""Category for Disposition Event"""
"DSDECOD","""Standardized Disposition Term"""
"DSSCAT","""Subcategory for Disposition Event"""
"DSSEQ","""Sequence Number"""
"DSSPID","""Sponsor-Defined Identifier"""
"DSSTDTC","""Start Date/Time of Disposition Event"""
"DSSTDY","""Study Day of Start of Disposition Event"""
"DSTERM","""Reported Term for the Disposition Event"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"DVCAT","""Category for Protocol Deviation"""
"DVDECOD","""Protocol Deviation Coded Term"""
"DVSCAT","""Subcategory for Protocol Deviation"""
"DVSEQ","""Sequence Number"""
"DVSPID","""Sponsor-Defined Identifier"""
"DVSTDTC","""Start Date/Time of Deviation"""
"DVSTDY","""Study Day of Start of Deviation"""
"DVTERM","""Protocol Deviation Term"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"ECADJ","""Reason for Dose Adjustment"""
"ECDOSE","""Dose"""
"ECDOSFRM","""Dose Form"""
"ECDOSFRQ","""Dosing Frequency per Interval"""
"ECDOSU","""Dose Units"""
"ECENDTC","""End Date/Time of Treatment"""
"ECENDY","""Study Day of End of Treatment"""
"ECFAST","""Fasting Status"""
"ECGRPID","""Group ID"""
"ECLNKGRP","""Link Group ID"""
"ECLNKID","""Link ID"""
"ECLOT","""Lot Number"""
"ECMOOD","""Mood"""
"ECOCCUR","""Occurrence"""
"ECPRESP","""Pre-Specified"""
"ECROUTE","""Route of Administration"""
"ECSEQ","""Sequence Number"""
"ECSPID","""Sponsor-Defined Identifier"""
"ECSTDTC","""Start Date/Time of Treatment"""
"ECSTDY","""Study Day of Start of Treatment"""
"ECTRT","""Name of Treatment"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EGBLFL","""Baseline Flag"""
"EGCAT","""Category for ECG"""
"EGDTC","""Date/Time of ECG"""
"EGDY","""Study Day of ECG"""
"EGELTM","""Planned Elapsed Time from Time Point Ref"""
"EGMETHOD","""Method of ECG Test"""
"EGORRES","""Result or Finding in Original Units"""
"EGORRESU","""Original Units"""
"EGREASND","""Reason ECG Not Performed"""
"EGREFID","""ECG Reference ID"""
"EGRFTDTC","""Date/Time of Reference Time Point"""
"EGSEQ","""Sequence Number"""
"EGSPID","""Sponsor-Defined Identifier"""
"EGSTAT","""Completion Status"""
"EGSTRESC","""Character Result/Finding in Std Format"""
"EGSTRESN","""Numeric Result/Finding in Standard Units"""
"EGSTRESU","""Standard Units"""
"EGTEST","""ECG Test or Examination Name"""
"EGTESTCD","""ECG Test or Examination Short Name"""
"EGTPT","""Planned Time Point Name"""
"EGTPTNUM","""Planned Time Point Number"""
"EGTPTREF","""Time Point Reference"""
"EPOCH","""Epoch"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"EXADJ","""Reason for Dose Adjustment"""
"EXDOSE","""Dose"""
"EXDOSFRM","""Dose Form"""
"EXDOSFRQ","""Dosing Frequency per Interval"""
"EXDOSU","""Dose Units"""
"EXENDTC","""End Date/Time of Treatment"""
"EXENDY","""Study Day of End of Treatment"""
"EXFAST","""Fasting Status"""
"EXLNKGRP","""Link Group ID"""
"EXLNKID","""Link ID"""
"EXLOT","""Lot Number"""
"EXROUTE","""Route of Administration"""
"EXSEQ","""Sequence Number"""
"EXSPID","""Sponsor-Defined Identifier"""
"EXSTDTC","""Start Date/Time of Treatment"""
"EXSTDY","""Study Day of Start of Treatment"""
"EXTRT","""Name of Treatment"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"FACAT","""Category for Findings About"""
"FADTC","""Date/Time of Collection"""
"FADY","""Study Day of Collection"""
"FAELTM","""Planned Elapsed Time from Time Point Ref"""
"FAGRPID","""Group ID"""
"FAOBJ","""Object of the Observation"""
"FAORRES","""Result or Finding in Original Units"""
"FAORRESU","""Original Units"""
"FAREASND","""Reason Not Performed"""
"FAREFID","""Reference ID"""
"FARFTDTC","""Date/Time of Reference Time Point"""
"FASCAT","""Subcategory for Findings About"""
"FASEQ","""Sequence Number"""
"FASPID","""Sponsor-Defined Identifier"""
"FASTAT","""Completion Status"""
"FASTRESC","""Character Result/Finding in Std Format"""
"FASTRESN","""Numeric Result/Finding in Standard Units"""
"FASTRESU","""Standard Units"""
"FATEST","""Findings About Test Name"""
"FATESTCD","""Findings About Test Short Name"""
"FATPT","""Planned Time Point Name"""
"FATPTNUM","""Planned Time Point Number"""
"FATPTREF","""Time Point Reference"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"HOCAT","""Category for Healthcare Encounter"""
"HOENDTC","""End Date/Time of Healthcare Encounter"""
"HOENDY","""Study Day of End of Healthcare Encounter"""
"HOGRPID","""Group ID"""
"HOOCCUR","""Healthcare Encounter Occurrence"""
"HOPRESP","""Pre-Specified Healthcare Encounter"""
"HOSEQ","""Sequence Number"""
"HOSPID","""Sponsor-Defined Identifier"""
"HOSTDTC","""Start Date/Time of Healthcare Encounter"""
"HOSTDY","""Study Day of Start of Encounter"""
"HOTERM","""Healthcare Encounter Term"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"LBBLFL","""Baseline Flag"""
"LBCAT","""Category for Lab Test"""
"LBDTC","""Date/Time of Specimen Collection"""
"LBDY","""Study Day of Specimen Collection"""
"LBELTM","""Planned Elapsed Time from Time Point Ref"""
"LBFAST","""Fasting Status"""
"LBLLOQ","""Lower Limit of Quantitation"""
"LBLOINC","""LOINC Code"""
"LBMETHOD","""Method of Test or Examination"""
"LBNAM","""Vendor Name"""
"LBNRIND","""Reference Range Indicator"""
"LBORNRHI","""Reference Range Upper Limit in Orig Unit"""
"LBORNRLO","""Reference Range Lower Limit in Orig Unit"""
"LBORRES","""Result or Finding in Original Units"""
"LBORRESU","""Original Units"""
"LBREASND","""Reason Test Not Done"""
"LBREFID","""Specimen ID"""
"LBRFTDTC","""Date/Time of Reference Time Point"""
"LBSEQ","""Sequence Number"""
"LBSPEC","""Specimen Type"""
"LBSPID","""Sponsor-Defined Identifier"""
"LBSTAT","""Completion Status"""
"LBSTNRC","""Reference Range for Char Rslt-Std Units"""
"LBSTNRHI","""Reference Range Upper Limit-Std Units"""
"LBSTNRLO","""Reference Range Lower Limit-Std Units"""
"LBSTRESC","""Character Result/Finding in Std Format"""
"LBSTRESN","""Numeric Result/Finding in Standard Units"""
"LBSTRESU","""Standard Units"""
"LBTEST","""Lab Test or Examination Name"""
"LBTESTCD","""Lab Test or Examination Short Name"""
"LBTPT","""Planned Time Point Name"""
"LBTPTNUM","""Planned Time Point Number"""
"LBTPTREF","""Time Point Reference"""
"STUDYID","""Study Identifier"""
"USUBJID","""Unique Subject Identifier"""
"VISIT","""Visit Name"""
"VISITDY","""Planned Study Day of Visit"""
"VISITNUM","""Visit Number"""
"DOMAIN","""Domain Abbreviation"""
"EPOCH","""Epoch"""
"MBBLFL","""Baseline Flag"""
"MBCAT","""Category for Microbiology Finding"""
"MBDTC","""Date/Time of Specimen Collection"""
"MBDY","""Study Day of MB Specimen Collection"""
"MBFAST","""Fasting Status"""
"MBGRPID","""Group ID"""
"MBMETHOD","""Method of Test or Examination"""
"MBORRES","""Result or Finding in Original Units"""
"MBREASND","""Reason Microbiology Not Performed"""
"MBRESCAT","""Result Category"""
"MBSEQ","""Sequence Number"""
"MBSPEC","""Specimen Type"""
"MBSPID","""Sponsor-Defined Identifier"""
"MBSTAT","""Completion Status"""
"MBSTRESC","""Character Result/Finding in Std Format"""
"MBTEST","""Microbiology Test or Finding Name"""
"MBTESTCD","""Microbiology Test or Finding Short Name"""
"STUDYID","""Study Identifier"""
