FOLDER,DOMAIN,VARIABLE,LABEL
BP43628S,ML,STUDYID,Study Identifier
BP43628S,ML,USUBJID,Unique Subject Identier
BP43628S,ML,VISIT,Visit Name
BP43628S,ML,VISITDY,Planned Study Day of Visit
BP43628S,ML,VISITNUM,Visit Number
BP43628S,PC,DOMAIN,Domain Abbreviation
BP43628S,PC,EPOCH,Epoch
BP43628S,PC,IPACCSNM,Immediate Parent Unique Sample ID
BP43628S,PC,PCAINTP,Assay Interpretation
BP43628S,PC,PCANLDTC,Date/Time of Specimen or Sample Analysis
BP43628S,PC,PCASPID,Assay Protocol Identifier
BP43628S,PC,PCCAT,Test Category
BP43628S,PC,PCDRVFL,Derived Flag
BP43628S,PC,PCDTC,Date/Time of Specimen Collection
BP43628S,PC,PCDY,Actual Study Day of Specimen Collection
BP43628S,PC,PCELTM,Planned Elapsed Time from Time Point Ref
BP43628S,PC,PCENDTC,End Date/Time of Specimen Collection
BP43628S,PC,PCENDY,Study Day of End of Observation
BP43628S,PC,PCEVLINT,Evaluation Interval
BP43628S,PC,PCFAST,Fasting Status
BP43628S,PC,PCGRPID,Group ID
BP43628S,PC,PCLLOQ,Lower Limit of Quantitation
BP43628S,PC,PCLOC,Location Used for the Measurement
BP43628S,PC,PCMETHOD,Method of Test or Examination
BP43628S,PC,PCNAM,Vendor Name
BP43628S,PC,PCORRES,Result or Finding in Original Units
BP43628S,PC,PCORRESU,Original Units
BP43628S,PC,PCREASND,Reason Test Not Done
BP43628S,PC,PCREFID,Reference ID
BP43628S,PC,PCRFTDTC,Date/Time of Reference Point
BP43628S,PC,PCSCAT,Test Subcategory
BP43628S,PC,PCSEQ,Sequence Number
BP43628S,PC,PCSMPLID,Alternate Sample Identifier
BP43628S,PC,PCSPCCND,Specimen Condition
BP43628S,PC,PCSPEC,Specimen Material Type
BP43628S,PC,PCSPID,Sponsor-Defined Identifier
BP43628S,PC,PCSTAT,Completion Status
BP43628S,PC,PCSTRESC,Character Result/Finding in Std Format
BP43628S,PC,PCSTRESN,Numeric Result/Finding in Standard Units
BP43628S,PC,PCSTRESU,Standard Units
BP43628S,PC,PCTEST,Pharmacokinetic Test Name
BP43628S,PC,PCTESTCD,Pharmacokinetic Test Short Name
BP43628S,PC,PCTPT,Planned Time Point Name
BP43628S,PC,PCTPTNUM,Planned Time Point Number
BP43628S,PC,PCTPTREF,Time Point Reference
BP43628S,PC,PCULOQ,Upper Limit of Quantitation
BP43628S,PC,PRACCSNM,Prior Vendor/Parental Unique Sample ID
BP43628S,PC,STUDYID,Study Identifier
BP43628S,PC,USUBJID,Unique Subject Identifier
BP43628S,PC,VISIT,Visit Name
BP43628S,PC,VISITDY,Planned Study Day of Visit
BP43628S,PC,VISITNUM,Visit Number
BP43628S,PR,DOMAIN,Domain Abbreviation
BP43628S,PR,EPOCH,Epoch
BP43628S,PR,PRCAT,Category
BP43628S,PR,PRDOSE,Dose
BP43628S,PR,PRDOSEU,Dose Units
BP43628S,PR,PRENDTC,End Date/Time of Procedure
BP43628S,PR,PRENDY,Study Day of End of Procedure
BP43628S,PR,PRGRPID,Group ID
BP43628S,PR,PROCCUR,Occurrence
BP43628S,PR,PRPRESP,Pre-specified
BP43628S,PR,PRSEQ,Sequence Number
BP43628S,PR,PRSPID,Sponsor-Defined Identifier
BP43628S,PR,PRSTAT,Completion Status
BP43628S,PR,PRSTDTC,Start Date/Time of Procedure
BP43628S,PR,PRSTDY,Study Day of Start of Procedure
BP43628S,PR,PRSTRTPT,Start Relative to Reference Time Point
BP43628S,PR,PRSTTPT,Start Reference Time Point
BP43628S,PR,PRTRT,Reported Name of Procedure
BP43628S,PR,SPDEVID,Sponsor Device Identifier
BP43628S,PR,STUDYID,Study Identifier
BP43628S,PR,USUBJID,Unique Subject Identifier
BP43628S,PR,VISIT,Visit Name
BP43628S,PR,VISITDY,Planned Study Day of Visit
BP43628S,PR,VISITNUM,Visit Number
BP43628S,RP,DOMAIN,Domain Abbreviation
BP43628S,RP,EPOCH,Epoch
BP43628S,RP,RPBLFL,Baseline Flag
BP43628S,RP,RPCAT,Category for Repro System Findings
BP43628S,RP,RPDTC,Date/Time of Measurements
BP43628S,RP,RPDY,Study Day of Repro System Findings
BP43628S,RP,RPORRES,Result or Finding in Original Units
BP43628S,RP,RPSEQ,Sequence Number
BP43628S,RP,RPSPID,Sponsor-Defined Identifier
BP43628S,RP,RPSTRESC,Character Result/Finding in Std. Format
BP43628S,RP,RPTEST,Reproductive System Findings Test Name
BP43628S,RP,RPTESTCD,Repro System Findings Test Short Name
BP43628S,RP,STUDYID,Study Identifier
BP43628S,RP,USUBJID,Unique Subject Identifier
BP43628S,RP,VISIT,Visit Name
BP43628S,RP,VISITDY,Planned Study Day of Visit
BP43628S,RP,VISITNUM,Visit Number
BP43628S,SC,DOMAIN,Domain Abbreviation
BP43628S,SC,EPOCH,Epoch
BP43628S,SC,SCCAT,Category for Subject Characteristic
BP43628S,SC,SCDTC,Date/Time of Collection
BP43628S,SC,SCDY,Study Day of Examination
BP43628S,SC,SCORRES,Result or Finding in Original Units
BP43628S,SC,SCSEQ,Sequence Number
BP43628S,SC,SCSPID,Sponsor-Defined Identifier
BP43628S,SC,SCSTRESC,Character Result/Finding in Std Format
BP43628S,SC,SCSTRESN,Numeric Result/Finding in Standard Units
BP43628S,SC,SCTEST,Subject Characteristic
BP43628S,SC,SCTESTCD,Subject Characteristic Short Name
BP43628S,SC,STUDYID,Study Identifier
BP43628S,SC,USUBJID,Unique Subject Identifier
BP43628S,SV,DOMAIN,Domain Abbreviation
BP43628S,SV,EPOCH,Epoch
BP43628S,SV,STUDYID,Study Identifier
BP43628S,SV,SVENDTC,End Date/Time of Visit
BP43628S,SV,SVENDY,Study Day of End of Visit
BP43628S,SV,SVOCCUR,Occurrence
BP43628S,SV,SVPRESP,Pre-specified
BP43628S,SV,SVSTDTC,Start Date/Time of Visit
BP43628S,SV,SVSTDY,Study Day of Start of Visit
BP43628S,SV,SVUPDES,Description of Unplanned Visit
BP43628S,SV,USUBJID,Unique Subject Identifier
BP43628S,SV,VISIT,Visit Name
BP43628S,SV,VISITDY,Planned Study Day of Visit
BP43628S,SV,VISITNUM,Visit Number
BP43628S,TI,DOMAIN,Domain Abbreviation
BP43628S,TI,IECAT,Inclusion/Exclusion Category
BP43628S,TI,IETEST,Inclusion/Exclusion Criterion
BP43628S,TI,IETESTCD,Incl/Excl Criterion Short Name
BP43628S,TI,STUDYID,Study Identifier
BP43628S,TI,TIVERS,Protocol Criteria Versions
BP43628S,TS,DOMAIN,Domain Abbreviation
BP43628S,TS,STUDYID,Study Identifier
BP43628S,TS,TSGRPID,Group ID
BP43628S,TS,TSPARM,Trial Summary Parameter
BP43628S,TS,TSPARMCD,Trial Summary Parameter Short Name
BP43628S,TS,TSSEQ,Sequence Number
BP43628S,TS,TSVAL,Parameter Value
BP43628S,TS,TSVALCD,Parameter Value Code
BP43628S,TS,TSVALNF,Parameter Null Flavor
BP43628S,TS,TSVCDREF,Name of the Reference Terminology
BP43628S,TS,TSVCDVER,Version of the Reference Terminology
BP43628S,VS,DOMAIN,Domain Abbreviation
BP43628S,VS,EPOCH,Epoch
BP43628S,VS,STUDYID,Study Identifier
BP43628S,VS,USUBJID,Unique Subject Identifier
BP43628S,VS,VISIT,Visit Name
BP43628S,VS,VISITDY,Planned Study Day of Visit
BP43628S,VS,VISITNUM,Visit Number
BP43628S,VS,VSBLFL,Baseline Flag
BP43628S,VS,VSCAT,Category for Vital Signs
BP43628S,VS,VSDTC,Date/Time of Measurements
BP43628S,VS,VSDY,Study Day of Vital Signs
BP43628S,VS,VSELTM,Planned Elapsed Time from Time Point Ref
BP43628S,VS,VSLOC,Location of Vital Signs Measurement
BP43628S,VS,VSORRES,Result or Finding in Original Units
BP43628S,VS,VSORRESU,Original Units
BP43628S,VS,VSPOS,Vital Signs Position of Subject
BP43628S,VS,VSRFTDTC,Date/Time of Reference Time Point
BP43628S,VS,VSSEQ,Sequence Number
BP43628S,VS,VSSPID,Sponsor-Defined Identifier
BP43628S,VS,VSSTAT,Completion Status
BP43628S,VS,VSSTRESC,Character Result/Finding in Std Format
BP43628S,VS,VSSTRESN,Numeric Result/Finding in Standard Units
BP43628S,VS,VSSTRESU,Standard Units
BP43628S,VS,VSTEST,Vital Signs Test Name
BP43628S,VS,VSTESTCD,Vital Signs Test Short Name
BP43628S,VS,VSTPT,Planned Time Point Name
BP43628S,VS,VSTPTNUM,Planned Time Point Number
BP43628S,VS,VSTPTREF,Time Point Reference
BP43628S,YI,DOMAIN,Domain Abbreviation
BP43628S,YI,STUDYID,Study Identifier
BP43628S,YI,USUBJID,Unique Subject Identifier
BP43628S,YI,YICAT,Category
BP43628S,YI,YICNTRY,Center Country
BP43628S,YI,YICRTN,Clinical Research Task Number
BP43628S,YI,YICSTATE,Center State
BP43628S,YI,YICTCITY,Center City
BP43628S,YI,YICTCNAM,Center Name
BP43628S,YI,YICTCNM1,Center Name 1
BP43628S,YI,YICTCNM2,Center Name 2
BP43628S,YI,YICTCNM3,Center Name 3
BP43628S,YI,YICTCNUM,Center Number
BP43628S,YI,YICTINAM,Center Investigator Name
BP43628S,YI,YICTINUM,Center Investigator Number
BP43628S,YI,YICTZIP,Center Postal Zip Code
BP43628S,YI,YIIADDR1,Investigator Address Line 1
BP43628S,YI,YIIADDR2,Investigator Address Line 2
BP43628S,YI,YIIADDR3,Investigator Address Line 3
BP43628S,YI,YIICITY,Investigator City
BP43628S,YI,YIICNTRY,Investigator Country
BP43628S,YI,YIIEMAIL,Investigator Email ID
BP43628S,YI,YIIFAX,Investigator Fax Number
BP43628S,YI,YIIMNAM,Investigator Middle Name
BP43628S,YI,YIINUM,Investigator Contact Number
BP43628S,YI,YIINUMTP,Investigator Contact Type
BP43628S,YI,YIINVID,Investigator Identifier
BP43628S,YI,YIINVZIP,Investigator Postal Zip Code
BP43628S,YI,YIISTATE,Investigator State
BP43628S,YI,YISEQ,Sequence Number
BP43628S,YI,YISITEID,Site Identifier
BP43628S,YI,YITERM,Reported Term for Event
BP43629S,AE,AEACN,Action Taken with Study Treatment
BP43629S,AE,AEACNOTH,Other Action Taken
BP43629S,AE,AEBDSYCD,Body System or Organ Class Code
BP43629S,AE,AEBODSYS,Body System or Organ Class
BP43629S,AE,AECAT,Category for Adverse Event
BP43629S,AE,AECONTRT,Concomitant or Additional Trtmnt Given
BP43629S,AE,AEDECOD,Dictionary-Derived Term
BP43629S,AE,AEENDTC,End Date/Time of Adverse Event
BP43629S,AE,AEENDY,Study Day of End of Adverse Event
BP43629S,AE,AEGRPID,Group ID
BP43629S,AE,AEHLGT,High Level Group Term
BP43629S,AE,AEHLGTCD,High Level Group Term Code
BP43629S,AE,AEHLT,High Level Term
BP43629S,AE,AEHLTCD,High Level Term Code
BP43629S,AE,AELLT,Lowest Level Term
BP43629S,AE,AELLTCD,Lowest Level Term Code
BP43629S,AE,AEMODIFY,Modified Reported Term
BP43629S,AE,AEOUT,Outcome of Adverse Event
BP43629S,AE,AEPTCD,Preferred Term Code
BP43629S,AE,AEREL,Causality
BP43629S,AE,AESCONG,Congenital Anomaly or Birth Defect
BP43629S,AE,AESDISAB,Persist or Signif Disability/Incapacity
BP43629S,AE,AESDTH,Results in Death
BP43629S,AE,AESEQ,Sequence Number
BP43629S,AE,AESER,Serious Event
BP43629S,AE,AESHOSP,Requires or Prolongs Hospitalization
BP43629S,AE,AESLIFE,Is Life Threatening
BP43629S,AE,AESMIE,Other Medically Important Serious Event
BP43629S,AE,AESOC,Primary System Organ Class
BP43629S,AE,AESOCCD,Primary System Organ Class Code
BP43629S,AE,AESPID,Sponsor-Defined Identifier
BP43629S,AE,AESTDTC,Start Date/Time of Adverse Event
BP43629S,AE,AESTDY,Study Day of Start of Adverse Event
BP43629S,AE,AETERM,Reported Term for the Adverse Event
BP43629S,AE,AETOXGR,Standard Toxicity Grade
BP43629S,AE,DOMAIN,Domain Abbreviation
BP43629S,AE,EPOCH,Epoch
BP43629S,AE,STUDYID,Study Identifier
BP43629S,AE,USUBJID,Unique Subject Identifier
BP43629S,BE,BECAT,Category for Biospecimen Event
BP43629S,BE,BEDECOD,Dictionary-Derived Term
BP43629S,BE,BEDTC,Date/Time of Specimen Collection
BP43629S,BE,BEDY,Study Day of Visit/Collection/Exam
BP43629S,BE,BEELTM,Planned Elapsed Time from Time Point Ref
BP43629S,BE,BEENDTC,End Date/Time of Biospecimen Event
BP43629S,BE,BEENDY,Study Day of End of Biospecimen Event
BP43629S,BE,BEOCCUR,Occurrence
BP43629S,BE,BEPRESP,Pre-specified
BP43629S,BE,BEREFID,Reference ID
BP43629S,BE,BERFTDTC,Date/Time of Reference Point
BP43629S,BE,BESCAT,Subcategory for Biospecimen Event
BP43629S,BE,BESEQ,Sequence Number
BP43629S,BE,BESPID,Sponsor-Defined Identifier
BP43629S,BE,BESTDTC,Start Date/Time of Biospecimen Event
BP43629S,BE,BESTDY,Study Day of Start of Biospecimen Event
BP43629S,BE,BETERM,Reported Term for the Biospecimen Event
BP43629S,BE,BETPT,Planned Time Point Name
BP43629S,BE,BETPTNUM,Planned Time Point Number
BP43629S,BE,BETPTREF,Time Point Reference
BP43629S,BE,DOMAIN,Domain Abbreviation
BP43629S,BE,EPOCH,Epoch
BP43629S,BE,STUDYID,Study Identifier
BP43629S,BE,USUBJID,Unique Subject Identifier
BP43629S,BE,VISIT,Visit Name
BP43629S,BE,VISITDY,Planned Study Day of Visit
BP43629S,BE,VISITNUM,Visit Number
BP43629S,CE,CEBDSYCD,Body System or Organ Class Code
BP43629S,CE,CEBODSYS,Body System or Organ Class
BP43629S,CE,CECAT,Category for Clinical Event
BP43629S,CE,CEDECOD,Dictionary-Derived Term
BP43629S,CE,CEENDTC,End Date/Time of Clinical Event
BP43629S,CE,CEENDY,Study Day of End of Observation
BP43629S,CE,CEGRPID,Group ID
BP43629S,CE,CEHLGT,High Level Group Term
BP43629S,CE,CEHLGTCD,High Level Group Term Code
BP43629S,CE,CEHLT,High Level Term
BP43629S,CE,CEHLTCD,High Level Term Code
BP43629S,CE,CELLT,Lowest Level Term
BP43629S,CE,CELLTCD,Lowest Level Term Code
BP43629S,CE,CEMODIFY,Modified Reported Term
BP43629S,CE,CEOCCUR,Clinical Event Occurrence
BP43629S,CE,CEPRESP,Clinical Event Pre-Specified
BP43629S,CE,CEPTCD,Preferred Term Code
BP43629S,CE,CESEQ,Sequence Number
BP43629S,CE,CESOC,Primary System Organ Class
BP43629S,CE,CESOCCD,Primary System Organ Class Code
BP43629S,CE,CESPID,Sponsor-Defined Identifier
BP43629S,CE,CESTDTC,Start Date/Time of Clinical Event
BP43629S,CE,CESTDY,Study Day of Start of Observation
BP43629S,CE,CETERM,Reported Term for the Clinical Event
BP43629S,CE,CETOXGR,Toxicity Grade
BP43629S,CE,DOMAIN,Domain Abbreviation
BP43629S,CE,EPOCH,Epoch
BP43629S,CE,STUDYID,Study Identifier
BP43629S,CE,USUBJID,Unique Subject Identifier
BP43629S,CM,CMCAT,Category for Medication
BP43629S,CM,CMDECOD,Standardized Medication Name
BP43629S,CM,CMDOSE,Dose per Administration
BP43629S,CM,CMDOSFRQ,Dosing Frequency per Interval
BP43629S,CM,CMDOSU,Dose Units
BP43629S,CM,CMENDTC,End Date/Time of Medication
BP43629S,CM,CMENDY,Study Day of End of Medication
BP43629S,CM,CMENRTPT,End Relative to Reference Time Point
BP43629S,CM,CMENTPT,End Reference Time Point
BP43629S,CM,CMGRPID,Group ID
BP43629S,CM,CMINDC,Indication
BP43629S,CM,CMMODIFY,Modified Reported Name
BP43629S,CM,CMREFID,Reference ID
BP43629S,CM,CMROUTE,Route of Administration
BP43629S,CM,CMSEQ,Sequence Number
BP43629S,CM,CMSPID,Sponsor-Defined Identifier
BP43629S,CM,CMSTDTC,Start Date/Time of Medication
BP43629S,CM,CMSTDY,Study Day of Start of Medication
BP43629S,CM,CMTRT,"Reported Name of Drug, Med, or Therapy"
BP43629S,CM,DOMAIN,Domain Abbreviation
BP43629S,CM,EPOCH,Epoch
BP43629S,CM,STUDYID,Study Identifier
BP43629S,CM,USUBJID,Unique Subject Identifier
BP43629S,CO,COSEQ,Sequence Number
BP43629S,CO,COVAL,Comment
BP43629S,CO,DOMAIN,Domain Abbreviation
BP43629S,CO,IDVAR,Identifying Variable
BP43629S,CO,IDVARVAL,Identifying Variable Value
BP43629S,CO,RDOMAIN,Related Domain Abbreviation
BP43629S,CO,STUDYID,Study Identifier
BP43629S,CO,USUBJID,Unique Subject Identifier
BP43629S,DM,ACTARM,Description of Actual Arm
BP43629S,DM,ACTARMCD,Actual Arm Code
BP43629S,DM,AGE,Age
BP43629S,DM,AGEU,Age Units
BP43629S,DM,ARM,Description of Planned Arm
BP43629S,DM,ARMCD,Planned Arm Code
BP43629S,DM,BRTHDTC,Date/Time of Birth
BP43629S,DM,COUNTRY,Country
BP43629S,DM,DMDTC,Date/Time of Collection
BP43629S,DM,DMDY,Study Day of Collection
BP43629S,DM,DOMAIN,Domain Abbreviation
BP43629S,DM,DTHDTC,Date/Time of Death
BP43629S,DM,DTHFL,Subject Death Flag
BP43629S,DM,ETHNIC,Ethnicity
BP43629S,DM,INVNAM,Investigator Name
BP43629S,DM,RACE,Race
BP43629S,DM,RFENDTC,Subject Reference End Date/Time
BP43629S,DM,RFICDTC,Date/Time of Informed Consent
BP43629S,DM,RFPENDTC,Date/Time of End of Participation
BP43629S,DM,RFSTDTC,Subject Reference Start Date/Time
BP43629S,DM,RFXENDTC,Date/Time of Last Study Treatment
BP43629S,DM,RFXSTDTC,Date/Time of First Study Treatment
BP43629S,DM,SEX,Sex
BP43629S,DM,SITEID,Study Site Identifier
BP43629S,DM,STUDYID,Study Identifier
BP43629S,DM,SUBJID,Subject Identifier for the Study
BP43629S,DM,USUBJID,Unique Subject Identifier
BP43629S,DS,DOMAIN,Domain Abbreviation
BP43629S,DS,DSCAT,Category for Disposition Event
BP43629S,DS,DSDECOD,Standardized Disposition Term
BP43629S,DS,DSSCAT,Subcategory for Disposition Event
BP43629S,DS,DSSEQ,Sequence Number
BP43629S,DS,DSSPID,Sponsor-Defined Identifier
BP43629S,DS,DSSTDTC,Start Date/Time of Disposition Event
BP43629S,DS,DSSTDY,Study Day of Start of Disposition Event
BP43629S,DS,DSTERM,Reported Term for the Disposition Event
BP43629S,DS,EPOCH,Epoch
BP43629S,DS,STUDYID,Study Identifier
BP43629S,DS,USUBJID,Unique Subject Identifier
BP43629S,DV,DOMAIN,Domain Abbreviation
BP43629S,DV,DVCAT,Category for Protocol Deviation
BP43629S,DV,DVDECOD,Protocol Deviation Coded Term
BP43629S,DV,DVSCAT,Subcategory for Protocol Deviation
BP43629S,DV,DVSEQ,Sequence Number
BP43629S,DV,DVSPID,Sponsor-Defined Identifier
BP43629S,DV,DVSTDTC,Start Date/Time of Deviation
BP43629S,DV,DVSTDY,Study Day of Start of Deviation
BP43629S,DV,DVTERM,Protocol Deviation Term
BP43629S,DV,EPOCH,Epoch
BP43629S,DV,STUDYID,Study Identifier
BP43629S,DV,USUBJID,Unique Subject Identifier
BP43629S,EC,DOMAIN,Domain Abbreviation
BP43629S,EC,ECADJ,Reason for Dose Adjustment
BP43629S,EC,ECDOSE,Dose
BP43629S,EC,ECDOSFRM,Dose Form
BP43629S,EC,ECDOSFRQ,Dosing Frequency per Interval
BP43629S,EC,ECDOSU,Dose Units
BP43629S,EC,ECENDTC,End Date/Time of Treatment
BP43629S,EC,ECENDY,Study Day of End of Treatment
BP43629S,EC,ECFAST,Fasting Status
BP43629S,EC,ECGRPID,Group ID
BP43629S,EC,ECLNKGRP,Link Group ID
BP43629S,EC,ECLNKID,Link ID
BP43629S,EC,ECLOT,Lot Number
BP43629S,EC,ECMOOD,Mood
BP43629S,EC,ECOCCUR,Occurrence
BP43629S,EC,ECPRESP,Pre-Specified
BP43629S,EC,ECROUTE,Route of Administration
BP43629S,EC,ECSEQ,Sequence Number
BP43629S,EC,ECSPID,Sponsor-Defined Identifier
BP43629S,EC,ECSTDTC,Start Date/Time of Treatment
BP43629S,EC,ECSTDY,Study Day of Start of Treatment
BP43629S,EC,ECTRT,Name of Treatment
BP43629S,EC,EPOCH,Epoch
BP43629S,EC,STUDYID,Study Identifier
BP43629S,EC,USUBJID,Unique Subject Identifier
BP43629S,EC,VISIT,Visit Name
BP43629S,EC,VISITDY,Planned Study Day of Visit
BP43629S,EC,VISITNUM,Visit Number
BP43629S,EG,DOMAIN,Domain Abbreviation
BP43629S,EG,EGBLFL,Baseline Flag
BP43629S,EG,EGCAT,Category for ECG
BP43629S,EG,EGDTC,Date/Time of ECG
BP43629S,EG,EGDY,Study Day of ECG
BP43629S,EG,EGELTM,Planned Elapsed Time from Time Point Ref
BP43629S,EG,EGMETHOD,Method of ECG Test
BP43629S,EG,EGORRES,Result or Finding in Original Units
BP43629S,EG,EGORRESU,Original Units
BP43629S,EG,EGREASND,Reason ECG Not Performed
BP43629S,EG,EGREFID,ECG Reference ID
BP43629S,EG,EGRFTDTC,Date/Time of Reference Time Point
BP43629S,EG,EGSEQ,Sequence Number
BP43629S,EG,EGSPID,Sponsor-Defined Identifier
BP43629S,EG,EGSTAT,Completion Status
BP43629S,EG,EGSTRESC,Character Result/Finding in Std Format
BP43629S,EG,EGSTRESN,Numeric Result/Finding in Standard Units
BP43629S,EG,EGSTRESU,Standard Units
BP43629S,EG,EGTEST,ECG Test or Examination Name
BP43629S,EG,EGTESTCD,ECG Test or Examination Short Name
BP43629S,EG,EGTPT,Planned Time Point Name
BP43629S,EG,EGTPTNUM,Planned Time Point Number
BP43629S,EG,EGTPTREF,Time Point Reference
BP43629S,EG,EPOCH,Epoch
BP43629S,EG,STUDYID,Study Identifier
BP43629S,EG,USUBJID,Unique Subject Identifier
BP43629S,EG,VISIT,Visit Name
BP43629S,EG,VISITDY,Planned Study Day of Visit
BP43629S,EG,VISITNUM,Visit Number
BP43629S,EX,DOMAIN,Domain Abbreviation
BP43629S,EX,EPOCH,Epoch
BP43629S,EX,EXADJ,Reason for Dose Adjustment
BP43629S,EX,EXDOSE,Dose
BP43629S,EX,EXDOSFRM,Dose Form
BP43629S,EX,EXDOSFRQ,Dosing Frequency per Interval
BP43629S,EX,EXDOSU,Dose Units
BP43629S,EX,EXENDTC,End Date/Time of Treatment
BP43629S,EX,EXENDY,Study Day of End of Treatment
BP43629S,EX,EXFAST,Fasting Status
BP43629S,EX,EXLNKGRP,Link Group ID
BP43629S,EX,EXLNKID,Link ID
BP43629S,EX,EXLOT,Lot Number
BP43629S,EX,EXROUTE,Route of Administration
BP43629S,EX,EXSEQ,Sequence Number
BP43629S,EX,EXSPID,Sponsor-Defined Identifier
BP43629S,EX,EXSTDTC,Start Date/Time of Treatment
BP43629S,EX,EXSTDY,Study Day of Start of Treatment
BP43629S,EX,EXTRT,Name of Treatment
BP43629S,EX,STUDYID,Study Identifier
BP43629S,EX,USUBJID,Unique Subject Identifier
BP43629S,EX,VISIT,Visit Name
BP43629S,EX,VISITDY,Planned Study Day of Visit
BP43629S,EX,VISITNUM,Visit Number
BP43629S,FA,DOMAIN,Domain Abbreviation
BP43629S,FA,EPOCH,Epoch
BP43629S,FA,FACAT,Category for Findings About
BP43629S,FA,FADTC,Date/Time of Collection
BP43629S,FA,FADY,Study Day of Collection
BP43629S,FA,FAELTM,Planned Elapsed Time from Time Point Ref
BP43629S,FA,FAGRPID,Group ID
BP43629S,FA,FAOBJ,Object of the Observation
BP43629S,FA,FAORRES,Result or Finding in Original Units
BP43629S,FA,FAORRESU,Original Units
BP43629S,FA,FAREASND,Reason Not Performed
BP43629S,FA,FAREFID,Reference ID
BP43629S,FA,FARFTDTC,Date/Time of Reference Time Point
BP43629S,FA,FASCAT,Subcategory for Findings About
BP43629S,FA,FASEQ,Sequence Number
BP43629S,FA,FASPID,Sponsor-Defined Identifier
BP43629S,FA,FASTAT,Completion Status
BP43629S,FA,FASTRESC,Character Result/Finding in Std Format
BP43629S,FA,FASTRESN,Numeric Result/Finding in Standard Units
BP43629S,FA,FASTRESU,Standard Units
BP43629S,FA,FATEST,Findings About Test Name
BP43629S,FA,FATESTCD,Findings About Test Short Name
BP43629S,FA,FATPT,Planned Time Point Name
BP43629S,FA,FATPTNUM,Planned Time Point Number
BP43629S,FA,FATPTREF,Time Point Reference
BP43629S,FA,STUDYID,Study Identifier
BP43629S,FA,USUBJID,Unique Subject Identifier
BP43629S,FA,VISIT,Visit Name
BP43629S,FA,VISITDY,Planned Study Day of Visit
BP43629S,FA,VISITNUM,Visit Number
BP43629S,HO,DOMAIN,Domain Abbreviation
BP43629S,HO,EPOCH,Epoch
BP43629S,HO,HOCAT,Category for Healthcare Encounter
BP43629S,HO,HOENDTC,End Date/Time of Healthcare Encounter
BP43629S,HO,HOENDY,Study Day of End of Healthcare Encounter
BP43629S,HO,HOGRPID,Group ID
BP43629S,HO,HOOCCUR,Healthcare Encounter Occurrence
BP43629S,HO,HOPRESP,Pre-Specified Healthcare Encounter
BP43629S,HO,HOSEQ,Sequence Number
BP43629S,HO,HOSPID,Sponsor-Defined Identifier
BP43629S,HO,HOSTDTC,Start Date/Time of Healthcare Encounter
BP43629S,HO,HOSTDY,Study Day of Start of Encounter
BP43629S,HO,HOTERM,Healthcare Encounter Term
BP43629S,HO,STUDYID,Study Identifier
BP43629S,HO,USUBJID,Unique Subject Identifier
BP43629S,LB,DOMAIN,Domain Abbreviation
BP43629S,LB,EPOCH,Epoch
BP43629S,LB,LBBLFL,Baseline Flag
BP43629S,LB,LBCAT,Category for Lab Test
BP43629S,LB,LBDTC,Date/Time of Specimen Collection
BP43629S,LB,LBDY,Study Day of Specimen Collection
BP43629S,LB,LBELTM,Planned Elapsed Time from Time Point Ref
BP43629S,LB,LBFAST,Fasting Status
BP43629S,LB,LBLLOQ,Lower Limit of Quantitation
BP43629S,LB,LBLOINC,LOINC Code
BP43629S,LB,LBMETHOD,Method of Test or Examination
BP43629S,LB,LBNAM,Vendor Name
BP43629S,LB,LBNRIND,Reference Range Indicator
BP43629S,LB,LBORNRHI,Reference Range Upper Limit in Orig Unit
BP43629S,LB,LBORNRLO,Reference Range Lower Limit in Orig Unit
BP43629S,LB,LBORRES,Result or Finding in Original Units
BP43629S,LB,LBORRESU,Original Units
BP43629S,LB,LBREASND,Reason Test Not Done
BP43629S,LB,LBREFID,Specimen ID
BP43629S,LB,LBRFTDTC,Date/Time of Reference Time Point
BP43629S,LB,LBSEQ,Sequence Number
BP43629S,LB,LBSPEC,Specimen Type
BP43629S,LB,LBSPID,Sponsor-Defined Identifier
BP43629S,LB,LBSTAT,Completion Status
BP43629S,LB,LBSTNRC,Reference Range for Char Rslt-Std Units
BP43629S,LB,LBSTNRHI,Reference Range Upper Limit-Std Units
BP43629S,LB,LBSTNRLO,Reference Range Lower Limit-Std Units
BP43629S,LB,LBSTRESC,Character Result/Finding in Std Format
BP43629S,LB,LBSTRESN,Numeric Result/Finding in Standard Units
BP43629S,LB,LBSTRESU,Standard Units
BP43629S,LB,LBTEST,Lab Test or Examination Name
BP43629S,LB,LBTESTCD,Lab Test or Examination Short Name
BP43629S,LB,LBTPT,Planned Time Point Name
BP43629S,LB,LBTPTNUM,Planned Time Point Number
BP43629S,LB,LBTPTREF,Time Point Reference
BP43629S,LB,STUDYID,Study Identifier
BP43629S,LB,USUBJID,Unique Subject Identifier
BP43629S,LB,VISIT,Visit Name
BP43629S,LB,VISITDY,Planned Study Day of Visit
BP43629S,LB,VISITNUM,Visit Number
BP43629S,MB,DOMAIN,Domain Abbreviation
BP43629S,MB,EPOCH,Epoch
BP43629S,MB,MBBLFL,Baseline Flag
BP43629S,MB,MBCAT,Category for Microbiology Finding
